arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 20:49:12,52,18/02/2020 20:49:12,52,18/02/2020 20:49:00,18/02/2020 20:49:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:49:13,true,14
18/02/2020 20:50:36,54,18/02/2020 20:50:36,54,18/02/2020 20:51:00,18/02/2020 20:51:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:50:52,true,14
18/02/2020 20:50:54,54,18/02/2020 20:50:54,54,18/02/2020 20:51:00,18/02/2020 20:51:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:52:31,true,14
,,,,,,,,,,,,,,,,,,
18/02/2020 19:58:41,2,18/02/2020 19:58:41,2,18/02/2020 19:45:00,18/02/2020 19:45:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:54:10,true,15
18/02/2020 20:00:10,3,18/02/2020 20:00:10,3,18/02/2020 19:56:00,18/02/2020 19:56:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:54:10,true,15
18/02/2020 20:00:40,4,18/02/2020 20:00:40,4,18/02/2020 19:45:00,18/02/2020 19:45:00,DCU,DCU,Enniskerry Village,Enniskerry Village,Inbound,bac,1,,no,44,18/02/2020 19:54:10,true,15
18/02/2020 20:01:12,4,18/02/2020 20:01:12,4,18/02/2020 19:52:00,18/02/2020 19:52:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:55:49,true,15
18/02/2020 20:02:01,5,18/02/2020 20:02:01,5,18/02/2020 19:57:00,18/02/2020 19:57:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:52:32,true,15
18/02/2020 20:04:16,7,18/02/2020 20:04:16,7,18/02/2020 20:00:00,18/02/2020 20:00:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:49:13,true,15
18/02/2020 20:06:01,9,18/02/2020 20:06:01,9,18/02/2020 20:06:00,18/02/2020 20:06:00,Tyrrelstown,Baile an Tirialaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,40D,18/02/2020 19:06:20,true,15
